ExpName,SubNodes,TotNodes,InputNode,OutputNode,SimulationTime,PredictionTime
BIOMD0000000079,9,9,Q,R,24.90248703956604,0.15814495086669922
BIOMD0000000079,9,9,P,Q,24.472893238067627,0.16654682159423828
BIOMD0000000079,9,9,R,P,25.29015684127808,0.15821409225463867
BIOMD0000000079,9,9,R,Q,25.318700075149536,0.17036128044128418
BIOMD0000000295,15,15,FC,FN,6.129123210906982,0.15642595291137695
BIOMD0000000295,15,15,FN,MF,6.10232400894165,0.21242403984069824
BIOMD0000000295,15,15,FNp,FCp,6.1142418384552,0.1638321876525879
BIOMD0000000295,15,15,FCp,MF,5.9299139976501465,0.15827584266662598
BIOMD0000000010,18,18,MAPK_PP,MKKK_P,3.49259614944458,0.18540692329406738
BIOMD0000000010,18,18,MKK_P,MAPK,3.611985206604004,0.16794610023498535
BIOMD0000000010,18,18,MKKK_P,MKKK,3.5936498641967773,0.16141676902770996
BIOMD0000000010,18,18,MAPK,MKK,3.6491992473602295,0.19651579856872559
BIOMD0000000216,21,23,M,CP,13.031087875366213,0.18273496627807617
BIOMD0000000216,21,23,CP2,TF,12.827826261520386,0.1721358299255371
BIOMD0000000216,21,23,CP,CP2,12.975728273391724,0.27083802223205566
BIOMD0000000216,21,23,IC,M,13.137157917022703,0.15472102165222168
BIOMD0000000360,24,24,VIIa_TF,VIIa_TF_Xa_TFPI,3.6084659099578857,0.17493700981140137
BIOMD0000000360,24,24,VIIa_TF,Xa_TFPI_VIIa_TF,3.4136297702789307,0.1874370574951172
BIOMD0000000360,24,24,VIIa_TF,Xa,3.409897804260254,0.15685582160949707
BIOMD0000000360,24,24,X,Xa,3.338308095932007,0.16367006301879883
BIOMD0000000041,27,27,Pi,P,3.6206209659576416,0.16820502281188965
BIOMD0000000041,27,27,Cr,PCr,3.1906511783599854,0.16190695762634277
BIOMD0000000041,27,27,Cr,PCri,3.206836223602295,0.1576828956604004
BIOMD0000000041,27,27,ATP,P,3.324623107910156,0.16602802276611328
BIOMD0000000214,37,41,PF,E1Fp,9.03868007659912,0.17592310905456543
BIOMD0000000214,37,41,PF,E2F,8.914008378982544,0.16022276878356934
BIOMD0000000214,37,41,PFp,E2F,9.354513883590698,0.15573596954345703
