ExpName,SubNodes,TotNodes,InputNode,OutputNode,SimulationTime,PredictionTime
BIOMD0000000662,14,15,Source,T_cell_naive,1.9491305351257324,0.2509307861328125
BIOMD0000000662,14,15,CML,T_cell_naive,1.9427039623260496,0.1857891082763672
BIOMD0000000662,14,15,T_cell_naive,CML,1.8658270835876465,0.20362186431884766
BIOMD0000000662,14,15,Source,CML,1.909247636795044,0.19121193885803223
BIOMD0000000010,18,18,MKKK,MAPK_P,2.743222951889038,0.2103879451751709
BIOMD0000000010,18,18,MKKK,MAPK_PP,2.609138011932373,0.19430875778198242
BIOMD0000000010,18,18,MKK_PP,MKKK_P,2.363485097885132,0.18725299835205078
BIOMD0000000010,18,18,MAPK_P,MKK_P,2.353544950485229,0.22076201438903809
BIOMD0000000359,24,24,VIIa_TF,Xa_TFPI_VIIa_TF,2.172621726989746,0.18693971633911133
BIOMD0000000359,24,24,X,TFPI,2.120957851409912,0.18938016891479492
BIOMD0000000359,24,24,X,Xa,2.0815086364746094,0.17921113967895508
BIOMD0000000359,24,24,TFPI,VIIa_TF_Xa,2.2119851112365723,0.18020892143249512
BIOMD0000000017,32,33,NADH,NAD,2.8332109451293945,0.18162989616394043
BIOMD0000000017,32,33,PO4,AcO,2.631094217300415,0.18821310997009277
BIOMD0000000017,32,33,halfglucose,AcO,2.7794339656829834,0.18123698234558105
BIOMD0000000017,32,33,Butanediol,AcetoinIn,2.7664449214935303,0.1832888126373291
BIOMD0000000443,42,45,species_10,species_3,3.886201858520508,0.18588805198669434
BIOMD0000000443,42,45,species_10,species_14,3.866004943847656,0.19165515899658203
BIOMD0000000443,41,45,species_0,species_11,3.701446771621704,0.19159221649169922
BIOMD0000000443,41,45,species_5,species_11,3.8204097747802734,0.183272123336792
BIOMD0000000022,46,47,species_0000012,PTc,15.544694185256958,0.19611120223999023
BIOMD0000000022,46,47,Perm,CCn,15.55164623260498,0.18647289276123047
BIOMD0000000022,46,47,Perc,Clkc,14.999769926071169,0.18292975425720215
BIOMD0000000022,46,47,CCn,Timc,15.694509983062744,0.18207192420959473
BIOMD0000000011,52,52,MEKPH,MAPKpp,3.040965795516968,0.18335819244384766
BIOMD0000000011,52,52,RAFK,RAFp,3.041913747787476,0.19743680953979492
BIOMD0000000011,52,52,MAPKPH,MAPKp,3.008932113647461,0.2011089324951172
BIOMD0000000011,52,52,RAF,MEK,3.051310062408448,0.19733095169067383
BIOMD0000000015,52,55,Gua,Xa,3.0191810131073,0.19861888885498047
BIOMD0000000015,50,55,Pi,Gua,3.2072041034698486,0.18289589881896973
BIOMD0000000015,54,55,GTP,UA,3.100287675857544,0.18501996994018555
BIOMD0000000015,54,55,Ade,UA,3.037073373794556,0.18230581283569336
BIOMD0000000476,52,57,cYn,cAc,53.82340693473816,0.18036675453186035
BIOMD0000000476,52,57,cTc,cAm,55.23001194000244,0.19303679466247559
BIOMD0000000476,52,57,cYm,cLm,59.30315470695496,0.18248701095581055
BIOMD0000000476,52,57,cXn,cAc,57.68316888809204,0.1906418800354004
BIOMD0000000651,59,60,mTORC1,iRaf,3.832805871963501,0.18326973915100098
BIOMD0000000651,59,60,mTORC1,iAkt,3.906214237213135,0.18417620658874512
BIOMD0000000651,59,60,FOXO,S6K,3.863481998443604,0.1925508975982666
BIOMD0000000651,59,60,RasGDP,RTK,3.778218030929565,0.18140292167663574
BIOMD0000000315,65,65,alpha,beta_T3,5.875951051712036,0.1805250644683838
BIOMD0000000315,65,65,T3,beta_T3_Inh,5.709305047988892,0.20557880401611328
BIOMD0000000315,65,65,T1,beta_T3_Inh,5.680865049362183,0.18440890312194824
BIOMD0000000315,65,65,T3,T1,5.490423917770386,0.18339991569519043
BIOMD0000000106,63,69,x14,x9,3.5933258533477783,0.19806385040283203
BIOMD0000000106,64,69,x19,x9,3.5643398761749268,0.18581128120422363
BIOMD0000000106,63,69,x10,x9,3.626699924468994,0.21146082878112793
BIOMD0000000106,63,69,x4,x9,3.638835906982422,0.18685483932495117
BIOMD0000000431,71,71,species_7,species_21,3.939265966415405,0.1928708553314209
BIOMD0000000431,71,71,species_20,species_3,3.5850307941436768,0.18434810638427734
BIOMD0000000431,71,71,species_13,species_4,3.616762161254883,0.1924581527709961
BIOMD0000000431,71,71,species_13,species_14,3.8345987796783447,0.21819519996643066
BIOMD0000000478,71,72,PKA,IIIcAMP_PKA,17.184620141983032,0.22488999366760254
BIOMD0000000478,71,72,PPA2,cAMP_Pde1f,17.668803930282593,0.24826908111572266
BIOMD0000000478,72,72,Pde2,AMP,17.85046076774597,0.20409297943115234
BIOMD0000000479,65,72,GaGDP,P,5.787540674209595,0.21489191055297852
BIOMD0000000479,70,72,Effector,z3,5.74097204208374,0.22322893142700195
